image_path,class_name,label,split
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_026.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_031.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_034.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_010.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_021.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_001.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_026.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_021.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_005.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_024.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_013.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_030.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_004.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_006.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_010.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_009.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_016.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_021.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_028.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_010.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_006.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_016.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_036.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_005.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_006.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_024.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_035.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_027.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_034.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_029.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_030.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_037.jpg,Healthy,0,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_035.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_009.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Leaf_mold\sample_Tomato___Leaf_mold_020.jpg,Leaf Mold,3,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_023.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_001.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Late_blight\sample_Tomato___Late_blight_032.jpg,Late Blight,2,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___Early_blight\sample_Tomato___Early_blight_033.jpg,Early Blight,1,train
C:\Users\palak\ai-crop-disease-pest-intelligence\data\raw\Tomato___healthy\sample_Tomato___healthy_033.jpg,Healthy,0,train
